,student_id,name,class,study,gpa,is_greek,is_on_campus,distance_to_campus,is_female,is_sprinklered,coverage,claim_id,amount,risk_tier,holdout
0,1,"Saiz, Leslie",3,Humanities,1.203913455,0,0,0.0,0.0,1,Additional Living Expense,0,0.0,2,0
1,1,"Saiz, Leslie",3,Humanities,1.203913455,0,0,0.0,0.0,1,Guest Medical,0,0.0,2,0
2,1,"Saiz, Leslie",3,Humanities,1.203913455,0,0,0.0,0.0,1,Liability,0,0.0,2,0
3,1,"Saiz, Leslie",3,Humanities,1.203913455,0,0,0.0,0.0,1,Personal Property,0,0.0,2,0
4,2,"Reddy, Dawna",3,Science,0.609616477,0,0,0.0,1.0,1,Additional Living Expense,0,0.0,2,0
5,2,"Reddy, Dawna",3,Science,0.609616477,0,0,0.0,1.0,1,Guest Medical,0,0.0,2,0
6,2,"Reddy, Dawna",3,Science,0.609616477,0,0,0.0,1.0,1,Liability,0,0.0,2,1
7,2,"Reddy, Dawna",3,Science,0.609616477,0,0,0.0,1.0,1,Personal Property,0,0.0,2,0
8,3,"Rivera, Johnna",3,Business,3.073384575,0,1,0.223941755,1.0,0,Additional Living Expense,0,0.0,2,1
9,3,"Rivera, Johnna",3,Business,3.073384575,0,1,0.223941755,1.0,0,Guest Medical,0,0.0,2,1
10,3,"Rivera, Johnna",3,Business,3.073384575,0,1,0.223941755,1.0,0,Liability,0,0.0,2,0
11,3,"Rivera, Johnna",3,Business,3.073384575,0,1,0.223941755,1.0,0,Personal Property,0,0.0,2,0
12,4,"al-Jamil, Umaira",4,Business,3.224735797,0,0,0.0,0.0,0,Additional Living Expense,0,0.0,3,0
13,4,"al-Jamil, Umaira",4,Business,3.224735797,0,0,0.0,0.0,0,Guest Medical,0,0.0,3,1
14,4,"al-Jamil, Umaira",4,Business,3.224735797,0,0,0.0,0.0,0,Liability,0,0.0,3,0
15,4,"al-Jamil, Umaira",4,Business,3.224735797,0,0,0.0,0.0,0,Personal Property,0,0.0,3,0
16,5,"el-Mohammed, Qutb",2,Business,2.687851048,0,0,0.0,1.0,0,Additional Living Expense,0,0.0,1,0
17,5,"el-Mohammed, Qutb",2,Business,2.687851048,0,0,0.0,1.0,0,Guest Medical,0,0.0,1,0
18,5,"el-Mohammed, Qutb",2,Business,2.687851048,0,0,0.0,1.0,0,Liability,0,0.0,1,0
19,5,"el-Mohammed, Qutb",2,Business,2.687851048,0,0,0.0,1.0,0,Personal Property,0,0.0,1,0
20,6,"Stufflebean, Sarah",3,Business,0.68865897,0,0,0.0,,1,Additional Living Expense,0,0.0,2,0
