,student_id,name,class,gpa,is_greek,is_on_campus,distance_to_campus,is_female,is_sprinklered,claim_id,risk_tier,holdout,Business,Humanities,Other,Science,amount
3,1,"Saiz, Leslie",3,1.203913455,0,0,0.0,0.0,1,0,2,0,0,1,0,0,0.0
7,2,"Reddy, Dawna",3,0.609616477,0,0,0.0,1.0,1,0,2,0,0,0,0,1,0.0
11,3,"Rivera, Johnna",3,3.073384575,0,1,0.223941755,1.0,0,0,2,0,1,0,0,0,0.0
15,4,"al-Jamil, Umaira",4,3.224735797,0,0,0.0,0.0,0,0,3,0,1,0,0,0,0.0
19,5,"el-Mohammed, Qutb",2,2.687851048,0,0,0.0,1.0,0,0,1,0,1,0,0,0,0.0
23,6,"Stufflebean, Sarah",3,0.68865897,0,0,0.0,,1,0,2,0,1,0,0,0,0.0
27,7,"Griggs, Dallas",3,3.243340597,0,0,0.0,1.0,0,0,2,0,0,0,0,1,0.0
31,8,"el-Sala, Khaleel",4,2.802010113,0,1,1.111581827,0.0,1,0,3,0,0,1,0,0,0.0
35,9,"Palacio, Angel",3,3.317148102,0,1,0.467159189,1.0,1,0,2,0,0,1,0,0,0.0
39,10,"House, Charron",1,1.309349598,1,0,0.0,,1,0,1,1,1,0,0,0,0.0
40,11,"Leigh, Shelley",2,0.981002788,0,1,10.08325517,1.0,1,1,1,0,0,0,1,0,990.5963911
47,12,"Montgomery, Oreoluwa",1,3.290466531,1,1,4.063088041,1.0,1,0,1,0,0,0,1,0,0.0
51,13,"Welch, Ashley",1,3.133928616,0,0,0.0,0.0,0,0,1,1,0,0,0,1,0.0
55,14,"Lewis, Cleveland",1,1.705161832,0,0,0.0,0.0,0,0,1,1,0,1,0,0,0.0
59,15,"Crespin, Kayla",1,3.135660929,0,0,0.0,,0,0,1,0,1,0,0,0,0.0
63,16,"Fenton, Danielle",2,0.746323955,0,0,0.0,0.0,1,0,1,0,1,0,0,0,0.0
67,17,"Atene, Vanessa",5,2.258347896,0,0,0.0,0.0,1,0,3,0,0,0,1,0,0.0
71,18,"Caballero, Nicholas",1,3.156558097,0,1,2.937173434,1.0,1,0,1,0,0,1,0,0,0.0
75,19,"al-Saladin, Najma",5,0.510841552,0,1,2.998438693,1.0,1,0,3,0,1,0,0,0,0.0
79,20,"al-Aboud, Madeeha",4,1.636846942,0,0,0.0,0.0,1,0,3,0,0,1,0,0,0.0
83,21,"Rodriguez-Roldan, Larissa",1,1.421470758,0,0,0.0,,1,0,1,0,0,0,1,0,0.0
84,22,"Stark, Najee",4,1.874570856,1,0,0.0,0.0,1,2,3,0,0,0,0,1,1172.942616
91,23,"Phillips, Anita",4,2.910647627,0,0,0.0,0.0,0,0,3,0,0,0,1,0,0.0
95,24,"Barron, Carissa",4,3.038685592,0,1,1.818203159,,0,0,3,0,0,1,0,0,0.0
99,25,"Randolph, Brea",2,1.452960227,0,1,2.633547695,1.0,1,0,1,0,0,0,1,0,0.0
103,26,"el-Baig, Nazeeha",4,1.49603808,0,0,0.0,1.0,1,0,3,0,0,0,1,0,0.0
104,27,"Roy, Dylan",2,2.582974996,1,0,0.0,0.0,1,3,1,0,1,0,0,0,2106.469682
111,28,"el-Agha, Kawkab",3,3.438296372,0,1,1.9531909,0.0,0,0,2,0,1,0,0,0,0.0
115,29,"Mora, Yesica",4,2.448340307,0,1,0.568290299,1.0,1,0,3,0,1,0,0,0,0.0
119,30,"North, Julianna",1,3.14720785,0,0,0.0,1.0,1,0,1,1,0,1,0,0,0.0
123,31,"Williams, Shaquelle",4,1.660513878,0,1,0.462272871,1.0,0,0,3,1,0,0,0,1,0.0
127,32,"Thomas, Kenna",4,3.216865653,0,0,0.0,1.0,0,0,3,0,0,0,1,0,0.0
131,33,"Ignacio, Austin",4,2.843812384,0,0,0.0,,1,0,3,0,1,0,0,0,0.0
135,34,"el-Nour, Fayyaad",5,1.554692435,1,1,5.377643157,1.0,0,0,3,0,0,0,0,1,0.0
139,35,"Trujillo, James",3,3.551045963,0,1,1.765695877,0.0,0,0,2,0,0,0,1,0,0.0
143,36,"Lopez, Avigail",5,2.194944847,0,0,0.0,0.0,1,0,3,0,0,1,0,0,0.0
147,37,"Thomas, Austin",1,1.849602659,1,0,0.0,0.0,1,0,1,0,0,1,0,0,0.0
151,38,"Barraza, Minerva",5,2.799687538,1,0,0.0,0.0,1,0,3,0,0,1,0,0,0.0
155,39,"Nevarez-Ortiz, Heather",3,2.945831243,0,1,6.438005373,0.0,1,0,2,1,0,0,0,1,0.0
159,40,"Pfeifer, Brock",5,1.561152793,0,0,0.0,1.0,1,0,3,1,0,1,0,0,0.0
163,41,"Garcia, Myranda",4,1.101022682,0,1,0.398291316,0.0,1,0,3,1,0,0,0,1,0.0
167,42,"Luong, Zachary",3,2.764617887,0,0,0.0,,1,0,2,0,0,1,0,0,0.0
171,43,"el-Salame, Sadeeda",2,3.495946182,1,0,0.0,0.0,1,0,1,0,1,0,0,0,0.0
175,44,"el-Sinai, Mahdeeya",1,2.015232006,0,0,0.0,0.0,0,0,1,0,0,0,0,1,0.0
179,45,"Steinbach, Emily",1,1.130697482,0,0,0.0,0.0,1,0,1,0,0,1,0,0,0.0
180,46,"Johnson, Nathaniel",3,3.207398167,1,1,9.145700107,1.0,1,7,2,1,0,0,0,1,1433.555349
184,47,"Siffrain, Terrance",4,3.241160085,1,0,0.0,1.0,0,8,3,0,0,0,0,1,500.6062374
191,48,"Alcon, Isiah",2,1.03782377,0,0,0.0,1.0,1,0,1,0,0,1,0,0,0.0
195,49,"Diaz, Rance",1,1.423424198,0,0,0.0,1.0,1,0,1,0,0,0,1,0,0.0
196,50,"Bruno, Shirelle",5,2.788286594,1,1,11.36078903,0.0,1,9,3,0,0,0,0,1,5519.35045
203,51,"Hobby, Shayla",1,2.763924124,1,0,0.0,0.0,1,0,1,1,1,0,0,0,0.0
207,52,"Sozi, Tyesha",2,3.199677315,1,0,0.0,1.0,0,0,1,0,0,0,1,0,0.0
211,53,"Smith, Desiree",2,2.503780988,0,1,4.964591507,0.0,1,0,1,0,0,1,0,0,0.0
215,54,"al-Dada, Jumaima",1,2.750561464,0,1,2.683059949,0.0,0,0,1,1,0,0,1,0,0.0
219,55,"Condon, Mac Warren",3,2.731152187,0,0,0.0,1.0,1,0,2,0,1,0,0,0,0.0
223,56,"Law, Shawde",1,2.223029559,0,0,0.0,0.0,1,0,1,0,0,0,1,0,0.0
227,57,"Meyer, Adam",1,2.807654953,0,0,0.0,1.0,1,0,1,0,0,0,1,0,0.0
231,58,"al-Sayed, Shaddaad",4,3.693250719,0,1,0.51309078,,0,0,3,0,1,0,0,0,0.0
235,59,"Israel, Deeana",4,2.476879794,0,0,0.0,0.0,1,0,3,1,0,0,0,1,0.0
239,60,"Boggs, Amos",1,3.18300462,0,0,0.0,0.0,1,0,1,0,0,0,0,1,0.0
243,61,"Ordunez, Kelsi",2,2.597857479,0,0,0.0,1.0,1,0,1,0,1,0,0,0,0.0
247,62,"el-Nasir, Naseefa",2,1.81849998,0,1,0.370050512,1.0,1,0,1,0,0,1,0,0,0.0
251,63,"Buchanan, Dai'Vante",4,2.906334301,0,0,0.0,,1,0,3,0,0,0,1,0,0.0
255,64,"Ngo, Jesika",4,3.062501902,0,0,0.0,1.0,1,0,3,0,0,1,0,0,0.0
259,65,"Harris, Keaanee",2,1.794686114,1,1,6.570334904,0.0,1,0,1,0,0,0,1,0,0.0
260,66,"Scott, Madison",3,2.766174188,0,0,0.0,1.0,1,11,2,0,0,0,0,1,339.6802425
267,67,"Velie, Jasmine",3,2.044649727,0,0,0.0,0.0,1,0,2,0,0,0,0,1,0.0
271,68,"el-Begum, Izzaddeen",2,2.214417764,0,1,3.517443947,0.0,1,0,1,0,0,1,0,0,0.0
275,69,"Bigbey, Brandon",5,0.629870073,0,0,0.0,1.0,0,0,3,0,1,0,0,0,0.0
279,70,"Knighton, Kymbreanne",3,2.070592033,0,1,0.926619858,1.0,0,0,2,1,0,1,0,0,0.0
283,71,"el-Allee, Sabriyya",2,2.337648302,0,1,22.20835397,1.0,1,0,1,0,0,0,1,0,0.0
287,72,"Perry, Ian",3,1.912752813,1,1,1.326822232,0.0,1,0,2,1,0,1,0,0,0.0
291,73,"Medel Ramirez, Jeremiah",2,3.739041201,0,1,6.29074008,,0,0,1,0,0,0,1,0,0.0
292,74,"Lee, Kevon",4,2.146280596,0,0,0.0,0.0,1,14,3,0,1,0,0,0,547.3320272
299,75,"el-Darwish, Hamda",1,2.99609945,0,0,0.0,0.0,0,0,1,1,1,0,0,0,0.0
303,76,"West, Hannah",2,1.315714979,0,0,0.0,1.0,1,0,1,0,1,0,0,0,0.0
307,77,"Wright, Hannah",3,3.315590015,0,0,0.0,1.0,1,0,2,1,0,1,0,0,0.0
311,78,"Howes, Dallas",3,2.969082886,1,0,0.0,1.0,1,0,2,0,0,0,1,0,0.0
315,79,"Jordan, Briana",2,2.763116499,0,0,0.0,1.0,0,0,1,1,1,0,0,0,0.0
319,80,"Mateo, Anthony",5,1.127388635,0,0,0.0,1.0,1,0,3,0,0,1,0,0,0.0
323,81,"Choe, Alec",2,2.035973593,0,0,0.0,1.0,1,0,1,0,0,1,0,0,0.0
327,82,"Stogdill, Anh",1,3.357782352,0,1,1.576868605,1.0,1,0,1,1,0,1,0,0,0.0
331,83,"el-Farid, Shaheed",3,3.015458126,1,0,0.0,,0,0,2,0,0,0,1,0,0.0
332,84,"al-Dallal, Nawaal",3,2.057681416,1,0,0.0,1.0,0,17,2,0,0,0,0,1,3654.651387
339,85,"Martinez, Isaac",3,2.712445963,0,1,0.260583952,0.0,1,0,2,0,0,0,0,1,0.0
343,86,"el-Tabet, Ahlaam",4,2.859536114,1,0,0.0,0.0,0,0,3,0,0,0,0,1,0.0
347,87,"al-Siddiqui, Mu'taz",2,0.931907493,0,0,0.0,0.0,1,0,1,0,0,1,0,0,0.0
351,88,"Morales, Tyler",4,2.186857675,0,0,0.0,1.0,1,0,3,1,0,0,1,0,0.0
352,89,"Johnson-Hodge, Tyla",3,2.108376064,0,1,0.594516352,0.0,1,19,2,0,1,0,0,0,1166.085651
359,90,"Rivera, Mark",2,2.802201909,0,1,4.464769751,0.0,1,0,1,0,0,1,0,0,0.0
363,91,"Cardenas, Charles",1,1.679067039,0,1,2.406370457,1.0,0,0,1,1,0,0,1,0,0.0
367,92,"Lawson, Terry",4,2.584586649,0,0,0.0,0.0,1,0,3,0,0,1,0,0,0.0
371,93,"Dall, Jacob",4,1.878483018,0,0,0.0,,1,0,3,1,0,1,0,0,0.0
375,94,"Mcconachy, Ysobella",5,2.04084988,0,0,0.0,0.0,1,0,3,0,1,0,0,0,0.0
379,95,"Clingan, Destin",5,2.809343039,0,1,2.308445577,1.0,1,0,3,0,0,0,0,1,0.0
383,96,"Goldston, Kyerria",2,1.772562685,0,0,0.0,1.0,0,0,1,0,0,0,0,1,0.0
387,97,"Lee, Cassidy",4,3.462300193,0,0,0.0,0.0,1,0,3,0,0,0,1,0,0.0
391,98,"O'Connor, David",2,2.293950896,0,0,0.0,0.0,1,0,1,0,0,0,0,1,0.0
395,99,"Shorty, Sharin",1,3.650472014,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0.0
399,100,"Syas, Jessica",4,2.971450941,0,1,0.731131621,1.0,1,0,3,0,0,0,1,0,0.0
400,101,"Darnell, Lakesha",5,0.979705046,0,1,1.900086835,0.0,1,20,3,0,1,0,0,0,953.0025459
404,102,"Ghosh, Srikar",3,2.965441382,0,1,0.805008648,0.0,0,21,2,0,0,0,1,0,703.7562792
411,103,"el-Azer, Taalib",5,1.395060757,0,0,0.0,0.0,0,0,3,0,0,0,0,1,0.0
415,104,"Vasquez, William",3,2.297923717,0,1,14.7912915,1.0,1,0,2,0,1,0,0,0,0.0
419,105,"Seiler, Saleh",4,1.118489244,0,0,0.0,0.0,0,0,3,0,1,0,0,0,0.0
423,106,"el-Hadi, Amniyya",2,3.104394747,0,0,0.0,1.0,0,0,1,1,0,1,0,0,0.0
427,107,"Cruz Rosalez, Rodolfo",3,1.959064378,0,1,2.532973526,0.0,0,0,2,0,0,1,0,0,0.0
431,108,"Arugonda, Tina",2,3.191887197,0,0,0.0,1.0,1,0,1,1,0,1,0,0,0.0
435,109,"Stokes, Na'Im",4,2.935743893,1,0,0.0,0.0,1,0,3,0,0,1,0,0,0.0
439,110,"Elisarraraz, Joshua",5,2.886557124,0,0,0.0,,1,0,3,0,0,1,0,0,0.0
443,111,"al-Arif, Ghaalib",5,2.97426062,0,0,0.0,,1,0,3,1,1,0,0,0,0.0
447,112,"Schnell, Aleah",3,3.490821207,0,0,0.0,0.0,1,0,2,0,1,0,0,0,0.0
448,113,"Carter, Sky",5,2.438731991,0,1,2.076549428,1.0,1,23,3,0,0,0,0,1,401.1073329
452,114,"Massie, Annie",2,1.36634224,0,0,0.0,1.0,1,24,1,0,0,1,0,0,74.82839842
459,115,"Miller, Michelle",4,3.862193595,0,0,0.0,0.0,1,0,3,0,0,0,1,0,0.0
463,116,"Miales, Tra'Von",4,1.28080401,0,0,0.0,0.0,1,0,3,1,1,0,0,0,0.0
467,117,"al-Ramin, Khawla",4,3.549608582,0,0,0.0,,1,0,3,0,0,1,0,0,0.0
471,118,"Hunt, William",3,2.807552533,0,0,0.0,1.0,0,0,2,1,0,1,0,0,0.0
472,119,"Garcia, Matia",2,2.701490449,1,1,0.629660398,0.0,1,25,1,1,0,0,0,1,306.2936942
479,120,"Rino, Jordan",4,2.130270262,0,0,0.0,1.0,1,0,3,0,0,1,0,0,0.0
483,121,"Brinson, Jovon",4,3.470159277,0,0,0.0,1.0,1,0,3,0,0,1,0,0,0.0
487,122,"Etzenhouser, Toni",3,3.008537657,0,1,0.025150126,0.0,0,0,2,0,1,0,0,0,0.0
491,123,"Caramillo, Candance",1,2.228764867,0,0,0.0,0.0,1,0,1,0,0,1,0,0,0.0
495,124,"Johnson, Grayling",3,1.126964747,0,0,0.0,0.0,1,0,2,1,1,0,0,0,0.0
499,125,"Lee, Journey",5,2.993290629,0,0,0.0,1.0,1,0,3,0,0,0,0,1,0.0
503,126,"el-Kaiser, Sufyaan",5,2.871123518,0,0,0.0,0.0,0,0,3,0,1,0,0,0,0.0
507,127,"Neal, Jazmyn",2,2.318209943,0,0,0.0,,1,0,1,0,0,1,0,0,0.0
508,128,"Jefferson, Eloyita",4,2.445775133,1,0,0.0,1.0,1,27,3,0,0,1,0,0,1439.123111
515,129,"Sickinger, Kristina",2,2.261542402,0,0,0.0,1.0,1,0,1,0,0,0,1,0,0.0
519,130,"Hester, Chane",4,2.888002383,0,1,0.325012878,0.0,0,0,3,0,0,0,0,1,0.0
523,131,"el-Ahmad, Jameel",4,3.196293491,0,0,0.0,1.0,0,0,3,0,0,0,1,0,0.0
527,132,"Carrillo, David",2,2.269232315,1,0,0.0,0.0,1,0,1,0,0,0,0,1,0.0
531,133,"Lemmons, Roselyn",3,1.447733931,1,0,0.0,1.0,1,0,2,0,0,0,1,0,0.0
535,134,"Van, Armond",3,3.04698509,0,0,0.0,0.0,1,0,2,1,1,0,0,0,0.0
539,135,"Light Bosquez, Dominique",2,1.563787871,0,0,0.0,1.0,1,0,1,0,1,0,0,0,0.0
543,136,"Garcia, Kayla",4,3.446773401,0,0,0.0,1.0,0,0,3,0,0,0,1,0,0.0
547,137,"Medrano, Jessica",2,2.318553487,0,0,0.0,1.0,1,0,1,1,0,0,1,0,0.0
551,138,"Moran, Logan",4,2.057328242,0,0,0.0,1.0,1,0,3,1,1,0,0,0,0.0
555,139,"Wood, Brittany",4,3.393506909,0,0,0.0,0.0,1,0,3,0,0,0,0,1,0.0
559,140,"Vigil, Kirsten",4,2.020222027,0,0,0.0,0.0,1,0,3,0,1,0,0,0,0.0
563,141,"Fitzgibbons, Christopher",3,2.031842939,0,1,17.1839833,1.0,1,0,2,1,0,0,1,0,0.0
567,142,"Lansing, Perla",4,2.858354284,0,0,0.0,1.0,1,0,3,0,0,1,0,0,0.0
571,143,"Rosenfelder, Trey",2,2.323609249,0,0,0.0,0.0,1,0,1,0,0,0,0,1,0.0
575,144,"Kimble, Tiara",2,2.654942396,0,0,0.0,,1,0,1,0,0,0,1,0,0.0
579,145,"Carter, Meron",3,0.489427486,0,1,2.543159485,0.0,1,0,2,0,0,0,0,1,0.0
583,146,"Levesque, Ivan",2,3.125073892,0,0,0.0,0.0,1,0,1,0,0,0,1,0,0.0
587,147,"Abdi, Martha",4,3.815063645,1,0,0.0,0.0,0,0,3,1,0,0,0,1,0.0
591,148,"Rader, Amanda",2,2.759811747,1,0,0.0,0.0,0,0,1,0,0,0,0,1,0.0
595,149,"Garcia-Alva, Jose",1,1.290841082,0,1,9.915921322,0.0,1,0,1,0,1,0,0,0,0.0
599,150,"Quintana, Rachel",1,2.718109126,0,0,0.0,0.0,1,0,1,0,1,0,0,0,0.0
603,151,"Svare, Marissa",4,2.510246253,0,1,6.126726716,0.0,1,0,3,1,0,1,0,0,0.0
607,152,"Kiatoukaysi, Jullienne Noelle",2,1.744522749,0,0,0.0,0.0,1,0,1,0,1,0,0,0,0.0
611,153,"Beckner, Austin",5,2.866354889,0,0,0.0,1.0,1,0,3,0,1,0,0,0,0.0
615,154,"Butler, Jaggar",1,2.842130332,0,0,0.0,1.0,1,0,1,0,0,0,1,0,0.0
619,155,"Lopez, Jay",2,3.188264707,1,0,0.0,0.0,1,0,1,0,1,0,0,0,0.0
623,156,"Lund, Troy",3,2.645401751,1,0,0.0,0.0,1,0,2,0,0,1,0,0,0.0
627,157,"Baek, Lucas",1,3.015707106,0,0,0.0,1.0,0,0,1,0,0,1,0,0,0.0
631,158,"al-Farra, Qaaida",4,1.848667923,0,0,0.0,1.0,1,0,3,0,1,0,0,0,0.0
635,159,"Smoots Jr, Kiani",4,2.818991507,0,0,0.0,1.0,1,0,3,0,0,0,1,0,0.0
639,160,"Zamora, Ronnie",2,2.721804463,0,0,0.0,0.0,1,0,1,1,0,0,1,0,0.0
643,161,"al-Yousif, Awn",1,2.111875989,0,0,0.0,1.0,1,0,1,0,0,0,1,0,0.0
644,162,"Blaeholder, Brandon",3,3.682153755,0,1,3.094059048,0.0,0,29,2,0,0,1,0,0,1694.07734
